Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nf,C_0402_1005Metric,113.284,-97.028,180.0,top
C2,100nf,C_0402_1005Metric,137.287,-61.595,90.0,top
C3,100nf,C_0402_1005Metric,103.124,-97.028,0.0,top
C4,100nf,C_0402_1005Metric,146.756,-67.437,180.0,top
C5,33pf,C_0402_1005Metric,130.345,-79.248,180.0,top
C6,33pf,C_0402_1005Metric,130.345,-74.422,0.0,top
C7,100nf,C_0402_1005Metric,155.321,-130.175,180.0,top
C9,1 uF,C_0805_2012Metric,165.888668,-115.835,0.0,top
C11,100nf,C_0402_1005Metric,152.654,-118.491,-90.0,top
C12,100nf,C_0402_1005Metric,152.654,-128.905,90.0,top
C13,100nf,C_0402_1005Metric,103.886,-112.268,90.0,top
C14,100nf,C_0402_1005Metric,113.411,-118.491,180.0,top
C15,33pf,C_0402_1005Metric,96.901,-130.302,180.0,top
C16,33pf,C_0402_1005Metric,96.901,-125.476,0.0,top
C17,30pf,C_0402_1005Metric,109.192,-67.0195,0.0,top
C18,30pf,C_0402_1005Metric,109.192,-72.3535,0.0,top
Cboot1,100nf,C_0402_1005Metric,170.333668,-112.914,0.0,top
Chf1,220nf,C_0805_2012Metric,170.18,-103.378,180.0,top
Cin1,10uf,C_0805_2012Metric,170.18,-101.092,180.0,top
Cout1,22uF,C_0805_2012Metric,168.217,-125.352,-90.0,top
Cout2,22uF,C_0805_2012Metric,170.714668,-125.352,-90.0,top
Cout3,22uF,C_0805_2012Metric,173.212334,-125.352,-90.0,top
Cout4,22uF,C_0805_2012Metric,175.71,-125.352,-90.0,top
D1,15V standoff,D_SMB,174.752,-83.566,0.0,top
D4,15V standoff,D_SMB,188.087,-83.566,0.0,top
L1,"8uH, 14m",L_Bourns_SRP7028A_7.3x6.6mm,171.984668,-118.179,-90.0,top
R1,2.2k,R_0603_1608Metric,142.621,-146.301,90.0,top
R2,2k,R_0402_1005Metric,157.1855,-75.057,0.0,top
R3,2k,R_0402_1005Metric,119.761,-128.937,-90.0,top
R4,2k,R_0402_1005Metric,119.761,-131.191,-90.0,top
R5,470,R_0402_1005Metric,120.777,-124.331,-90.0,top
R6,1k,R_0402_1005Metric,120.777,-126.619,-90.0,top
R7,1k,R_0402_1005Metric,138.303,-135.001,180.0,top
R8,10k,R_0603_1608Metric,130.556,-135.255,0.0,top
R9,1k,R_0402_1005Metric,138.176,-124.333,180.0,top
R10,10k,R_0603_1608Metric,130.556,-124.587,0.0,top
R11,120R,R_0402_1005Metric,150.058,-62.23,0.0,top
R12,100k,R_0402_1005Metric,146.629,-59.418,0.0,top
R13,100k,R_0402_1005Metric,146.248,-68.961,90.0,top
R14,4K7 1%,R_0402_1005Metric,150.495,-143.383,180.0,top
R15,100k,R_0402_1005Metric,154.051,-143.383,180.0,top
R16,120R,R_0402_1005Metric,116.586,-112.776,0.0,top
R17,100k,R_0402_1005Metric,113.157,-110.038,0.0,top
R18,100k,R_0402_1005Metric,113.03,-119.888,90.0,top
R19,2k,R_0402_1005Metric,114.046,-95.504,90.0,top
R20,2k,R_0402_1005Metric,112.903,-95.504,90.0,top
R21,4K7 1%,R_0402_1005Metric,151.13,-128.524,0.0,top
R22,4K7 1%,R_0402_1005Metric,149.098,-128.524,180.0,top
R23,1k,R_0402_1005Metric,115.316,-65.405,180.0,top
R24,1k,R_0402_1005Metric,120.777,-75.311,180.0,top
Rfbb1,24K9 1%,R_0402_1005Metric,166.394668,-112.787,180.0,top
Rfbt1,100k 1%,R_0402_1005Metric,166.396668,-114.057,180.0,top
U2,EL817,EasyEDA-C183799-smd-SOP-4_L6.5-W4.6-P2.54-LS10.2-TL,134.246442,-131.45667,180.0,top
U3,TXB0104PW,TSSOP-14_4.4x5mm_P0.65mm,182.499,-103.261,180.0,top
U4,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,141.676,-61.648,270.0,top
U5,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,139.446,-72.517,270.0,top
U6,MCP23017-E/SO,SOIC-28W_7.5x18.7mm_P1.27mm,157.988,-136.779,180.0,top
U7,LMR33630ADDA,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,169.063668,-108.342,-90.0,top
U8,TCA9517DR,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,108.204,-95.123,0.0,top
U9,EL817,EasyEDA-C183799-smd-SOP-4_L6.5-W4.6-P2.54-LS10.2-TL,134.246442,-120.91567,180.0,top
U10,TCA9517DR,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,150.749,-123.698,90.0,top
U11,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,108.331,-112.268,270.0,top
U12,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,106.299,-123.571,270.0,top
U13,TXB0104PW,TSSOP-14_4.4x5mm_P0.65mm,120.777,-61.976,270.0,top
U14,SC16IS752IPW,TSSOP-28_4.4x9.7mm_P0.65mm,115.867,-71.056,270.0,top
Y1,12Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,130.345,-76.837,0.0,top
Y2,12Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,96.901,-127.889,0.0,top
Y3,14.7456 Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,109.164,-69.723,90.0,top
